"n_mero_de_contrato","id_documento","proceso","nombre_archivo","tamanno_archivo","extensi_n","descripci_n","fecha_carga","entidad","nit_entidad","url_descarga_documento"
,"756937644","CO1.BDOS.10040890","2. CERTIFICACIoN PLAN ANUAL DE ADQUISICIONES.PDF","24448","pdf","2. CERTIFICACIoN PLAN ANUAL DE ADQUISICIONES.PDF","2026-02-24T00:00:00.000","HOSPITAL REGIONAL DE SOGAMOSO E.S.E","891855039","https://community.secop.gov.co/Public/Archive/RetrieveFile/Index?DocumentId=756937644&InCommunity=False&InPaymentGateway=False&DocUniqueIdentifier="
,"756926780","CO1.BDOS.10041202","263 CONTRATO.PDF","787311","pdf","263 CONTRATO.PDF","2026-02-24T00:00:00.000","EMPRESA SOCIAL DEL ESTADO HOSPITAL PROFESOR JORGE CAVELIER","832002436","https://community.secop.gov.co/Public/Archive/RetrieveFile/Index?DocumentId=756926780&InCommunity=False&InPaymentGateway=False&DocUniqueIdentifier="
,"756950894","CO1.BDOS.10030392","ESTUDIOS PREVIOS.PDF","8545482","pdf","ESTUDIOS PREVIOS.PDF","2026-02-24T00:00:00.000","ESE HOSPITAL SAN RAFAEL DE CHINU","8001939121","https://community.secop.gov.co/Public/Archive/RetrieveFile/Index?DocumentId=756950894&InCommunity=False&InPaymentGateway=False&DocUniqueIdentifier="
,"757003640","CO1.BDOS.5732422","INFORME DE SUPERVISIoN FINAL ENERO - FEBRERO.PDF","477879","pdf","INFORME DE SUPERVISIoN FINAL ENERO - FEBRERO.PDF","2026-02-24T00:00:00.000","INVEMAR","800250062","https://community.secop.gov.co/Public/Archive/RetrieveFile/Index?DocumentId=757003640&InCommunity=False&InPaymentGateway=False&DocUniqueIdentifier="
,"756952086","CO1.BDOS.10041259","RP CMC-011-2026 YEIMIS GUERRA SIERRA.PDF","247721","pdf","RP CMC-011-2026 YEIMIS GUERRA SIERRA.PDF","2026-02-24T00:00:00.000","E.S.E. HOSPITAL LOCAL DE MONTELIBANO","812000344","https://community.secop.gov.co/Public/Archive/RetrieveFile/Index?DocumentId=756952086&InCommunity=False&InPaymentGateway=False&DocUniqueIdentifier="
,"756945101","CO1.BDOS.10041322","ESTUDIO MERCADO.PDF","753401","pdf","ESTUDIO MERCADO.PDF","2026-02-24T00:00:00.000","EMPRESA SOCIAL DEL ESTADO SALUD YOPAL","844003225","https://community.secop.gov.co/Public/Archive/RetrieveFile/Index?DocumentId=756945101&InCommunity=False&InPaymentGateway=False&DocUniqueIdentifier="
,"756944474","CO1.BDOS.10041151","ACTA LIQUIDACION.PDF","593231","pdf","ACTA LIQUIDACION.PDF","2026-02-24T00:00:00.000","INSTITUCION EDUCATIVA DIVINO NIÑO","828000276","https://community.secop.gov.co/Public/Archive/RetrieveFile/Index?DocumentId=756944474&InCommunity=False&InPaymentGateway=False&DocUniqueIdentifier="
,"756945121","CO1.BDOS.10041324","10. CERTIFICADO DE EXPERIENCIA PROFESIONAL .PDF","400760","pdf","10. CERTIFICADO DE EXPERIENCIA PROFESIONAL .PDF","2026-02-24T00:00:00.000","UNIVERSIDAD DE CARTAGENA","890480123","https://community.secop.gov.co/Public/Archive/RetrieveFile/Index?DocumentId=756945121&InCommunity=False&InPaymentGateway=False&DocUniqueIdentifier="
,"756947607","CO1.BDOS.10041330","HV DANILO DE JESUS NARVAEZ GUEVARA.PDF","7265820","pdf","HV DANILO DE JESUS NARVAEZ GUEVARA.PDF","2026-02-24T00:00:00.000","UNIVERSIDAD DE CARTAGENA","890480123","https://community.secop.gov.co/Public/Archive/RetrieveFile/Index?DocumentId=756947607&InCommunity=False&InPaymentGateway=False&DocUniqueIdentifier="
,"756954919","CO1.BDOS.10041114","20. SOLICITUD DE COTIZACION SERVICIOS AMEMOS.PDF","441001","pdf","20. SOLICITUD DE COTIZACION SERVICIOS AMEMOS.PDF","2026-02-24T00:00:00.000","MUNICIPIO DE CERETE","800096744","https://community.secop.gov.co/Public/Archive/RetrieveFile/Index?DocumentId=756954919&InCommunity=False&InPaymentGateway=False&DocUniqueIdentifier="
,"756981202","CO1.BDOS.10030289","DESIGNACION DE SUPERVISOR.PDF","109405","pdf","DESIGNACION DE SUPERVISOR.PDF","2026-02-24T00:00:00.000","EMPRESA SOCIAL DEL ESTADO MARCO FELIPE AFANADOR DE TOCAIMA","890680033","https://community.secop.gov.co/Public/Archive/RetrieveFile/Index?DocumentId=756981202&InCommunity=False&InPaymentGateway=False&DocUniqueIdentifier="
,"757006281","CO1.BDOS.9099955","ACTA DE LIQUIDACION CONTRATO 257-2025.PDF","549842","pdf","ACTA DE LIQUIDACION CONTRATO 257-2025.PDF","2026-02-24T00:00:00.000","ESE HOSPITAL SANTA ANA, GUATICA RISARALDA","891410661","https://community.secop.gov.co/Public/Archive/RetrieveFile/Index?DocumentId=757006281&InCommunity=False&InPaymentGateway=False&DocUniqueIdentifier="
,"756996454","CO1.BDOS.8890041","OP 01 CTO 1166-2025.PDF","34628","pdf","OP 01 CTO 1166-2025.PDF","2026-02-24T00:00:00.000","HOSPITAL UNIVERSITARIO LA SAMARITANA","899999032","https://community.secop.gov.co/Public/Archive/RetrieveFile/Index?DocumentId=756996454&InCommunity=False&InPaymentGateway=False&DocUniqueIdentifier="
,"756951559","CO1.BDOS.10041504","RP.PDF","1283228","pdf","RP.PDF","2026-02-24T00:00:00.000","ESE HOSPITAL MUNICIPAL ALGECIRAS","813001653","https://community.secop.gov.co/Public/Archive/RetrieveFile/Index?DocumentId=756951559&InCommunity=False&InPaymentGateway=False&DocUniqueIdentifier="
